"SER
NO","DIST
CODE",DISTRICT_NAME,"EA
CODE",EA_NAME,"SCTY
CODE",SCOUNTY_NAME,"PAR
CODE",PARISH NAME,"PS
CODE",PS NAME,"NO OF
FEMALES",NO OF MALES,,"EC VOTER
COUNTS",ANALYZED VOTER COUNT
36,01,APAC,002,KWANIA COUNTY,02,CAWENTE,19,ALIDO,04,ALIDO,191,154,,345,345
37,01,APAC,002,KWANIA COUNTY,02,CAWENTE,28,AJAR,01,"APOLIKA PRIMARY
SCHOOL",290,307,,597,597
38,01,APAC,002,KWANIA COUNTY,02,CAWENTE,28,AJAR,02,"BLUE CORNER NURSERY
SCHOOL",362,341,,705,703
39,01,APAC,002,KWANIA COUNTY,02,CAWENTE,28,AJAR,03,PONGA MARKET,259,251,,510,510
40,01,APAC,002,KWANIA COUNTY,02,CAWENTE,28,AJAR,04,"OBOLOCANI CHURCH
OF UGANDA",169,156,,326,325
"SER
NO","DIST
CODE",DISTRICT_NAME,"EA
CODE",EA_NAME,"SCTY
CODE",SCOUNTY_NAME,"PAR
CODE",PARISH NAME,"PS
CODE",PS NAME,"NO OF
FEMALES",NO OF MALES,,"VOTER
COUNTS", 
41,01,APAC,002,KWANIA COUNTY,02,CAWENTE,34,IWAL,01,AYEI CHURCH,399,347,,749,746
42,01,APAC,002,KWANIA COUNTY,02,CAWENTE,34,IWAL,02,AGOLOWELO P/S,397,352,,752,749
43,01,APAC,002,KWANIA COUNTY,02,CAWENTE,34,IWAL,03,"ADWONGOWIRI
CHURCH",197,186,,384,383
44,01,APAC,002,KWANIA COUNTY,03,INOMO,20,BANYA,01,"AKOREMOR P.7
SCHOOL",378,365,,743,743
45,01,APAC,002,KWANIA COUNTY,03,INOMO,20,BANYA,02,AKUTOABWOLE,454,403,,857,857
46,01,APAC,002,KWANIA COUNTY,03,INOMO,21,AGWICIRI,01,ALERO,447,368,,819,815
47,01,APAC,002,KWANIA COUNTY,03,INOMO,21,AGWICIRI,02,APUMI,438,429,,871,867
48,01,APAC,002,KWANIA COUNTY,03,INOMO,21,AGWICIRI,03,ANYWAL,250,255,,510,505
49,01,APAC,002,KWANIA COUNTY,03,INOMO,21,AGWICIRI,04,ACOWERE,178,162,,344,340
50,01,APAC,002,KWANIA COUNTY,03,INOMO,22,ABEDMOT,01,WII‐GWENG,437,394,,837,831
51,01,APAC,002,KWANIA COUNTY,03,INOMO,22,ABEDMOT,02,AMAMBALE,419,427,,854,846
52,01,APAC,002,KWANIA COUNTY,03,INOMO,22,ABEDMOT,03,TIMAKICA MARKET,233,205,,439,438
53,01,APAC,002,KWANIA COUNTY,03,INOMO,23,AJOK,01,AGONGA,418,388,,808,806
54,01,APAC,002,KWANIA COUNTY,03,INOMO,23,AJOK,02,LWALA,256,263,,521,519
55,01,APAC,002,KWANIA COUNTY,03,INOMO,23,AJOK,03,BARO‐POK,375,340,,715,715
56,01,APAC,002,KWANIA COUNTY,03,INOMO,23,AJOK,04,ST. JANAN LOUM C.O.U,223,205,,431,428
57,01,APAC,002,KWANIA COUNTY,03,INOMO,23,AJOK,05,FARM,286,249,,538,535
58,01,APAC,002,KWANIA COUNTY,03,INOMO,24,INOMO,01,APIREMIT,417,378,,801,795
59,01,APAC,002,KWANIA COUNTY,03,INOMO,24,INOMO,02,BARLWALA,424,408,,837,832
60,01,APAC,002,KWANIA COUNTY,03,INOMO,24,INOMO,03,BAROKANGO,253,199,,453,452
"SER
NO","DIST
CODE",DISTRICT_NAME,"EA
CODE",EA_NAME,"SCTY
CODE",SCOUNTY_NAME,"PAR
CODE",PARISH NAME,"PS
CODE",PS NAME,"NO OF
FEMALES",NO OF MALES,,"VOTER
COUNTS", 
61,01,APAC,002,KWANIA COUNTY,03,INOMO,29,ALUKA,01,ALIKINGEL,413,325,,741,738
62,01,APAC,002,KWANIA COUNTY,03,INOMO,29,ALUKA,02,ALIK P.7 SCHOOL A,196,252,,452,448
63,01,APAC,002,KWANIA COUNTY,03,INOMO,29,ALUKA,03,ALAM,223,188,,415,411
64,01,APAC,002,KWANIA COUNTY,03,INOMO,29,ALUKA,04,ALIK P.7 SCHOOL B,274,266,,546,540
65,01,APAC,002,KWANIA COUNTY,04,NAMBIESO,09,OWINY,01,OWINY,448,411,,859,859
66,01,APAC,002,KWANIA COUNTY,04,NAMBIESO,09,OWINY,02,IGOTI/ACULAWIC,312,267,,579,579
67,01,APAC,002,KWANIA COUNTY,04,NAMBIESO,09,OWINY,03,ACWAO,163,134,,297,297
68,01,APAC,002,KWANIA COUNTY,04,NAMBIESO,09,OWINY,04,OBALONGWEN,133,137,,270,270
69,01,APAC,002,KWANIA COUNTY,04,NAMBIESO,10,AYABI,01,"AYABI TRADING CENTRE
A",220,190,,410,410
70,01,APAC,002,KWANIA COUNTY,04,NAMBIESO,10,AYABI,02,AYABI P.7 SCHOOL,400,415,,815,815
71,01,APAC,002,KWANIA COUNTY,04,NAMBIESO,10,AYABI,03,"AYABI TRADING CENTRE
B",279,254,,533,533
72,01,APAC,002,KWANIA COUNTY,04,NAMBIESO,11,AORNGA,02,"NAMBIESO PRIMARY
SCHOOL",429,345,,774,774
73,01,APAC,002,KWANIA COUNTY,04,NAMBIESO,11,AORNGA,03,OKWOR P.7 SCHOOL,344,327,,671,671
74,01,APAC,002,KWANIA COUNTY,04,NAMBIESO,11,AORNGA,04,EGWOR,342,285,,627,627
75,01,APAC,002,KWANIA COUNTY,04,NAMBIESO,12,ANWANGI,01,ORIYE A,426,382,,808,808
76,01,APAC,002,KWANIA COUNTY,04,NAMBIESO,12,ANWANGI,02,EMINA,435,390,,825,825
77,01,APAC,002,KWANIA COUNTY,04,NAMBIESO,12,ANWANGI,03,ANGEOKOMA,145,111,,256,256
78,01,APAC,002,KWANIA COUNTY,04,NAMBIESO,12,ANWANGI,04,AYAT,338,271,,609,609
79,01,APAC,002,KWANIA COUNTY,04,NAMBIESO,12,ANWANGI,05,TEILIGO,240,222,,462,462
80,01,APAC,002,KWANIA COUNTY,04,NAMBIESO,13,ABULI,01,"ODALOWANG/OMWON
O",356,317,,673,673
"SER
NO","DIST
CODE",DISTRICT_NAME,"EA
CODE",EA_NAME,"SCTY
CODE",SCOUNTY_NAME,"PAR
CODE",PARISH NAME,"PS
CODE",PS NAME,"NO OF
FEMALES",NO OF MALES,,"VOTER
COUNTS", 
81,01,APAC,002,KWANIA COUNTY,04,NAMBIESO,13,ABULI,02,"ABULI PRIMARY
SCHOOL",327,271,,598,598
82,01,APAC,002,KWANIA COUNTY,04,NAMBIESO,13,ABULI,03,OJOK BER IDWOGO,172,173,,345,345
83,01,APAC,002,KWANIA COUNTY,04,NAMBIESO,13,ABULI,04,ANGUKAI,173,161,,334,334
84,01,APAC,002,KWANIA COUNTY,04,NAMBIESO,14,BUNG,01,OKIK PRIMARY SCHOOL,419,373,,792,792
85,01,APAC,002,KWANIA COUNTY,04,NAMBIESO,14,BUNG,02,AYOMLWOR,460,339,,799,799
86,01,APAC,002,KWANIA COUNTY,04,NAMBIESO,14,BUNG,03,BAR BUNG,323,328,,651,651
87,01,APAC,002,KWANIA COUNTY,04,NAMBIESO,15,ACABA,01,AGENGI A,286,261,,547,547
88,01,APAC,002,KWANIA COUNTY,04,NAMBIESO,15,ACABA,02,OKELKUC,433,393,,826,826
89,01,APAC,002,KWANIA COUNTY,04,NAMBIESO,15,ACABA,03,AGWEI T.C,348,328,,676,676
90,01,APAC,002,KWANIA COUNTY,04,NAMBIESO,27,ETEKIBER,01,ABURO‐KEC,425,414,,839,839
91,01,APAC,002,KWANIA COUNTY,04,NAMBIESO,27,ETEKIBER,02,ODYEDO,315,307,,622,622
92,01,APAC,002,KWANIA COUNTY,04,NAMBIESO,27,ETEKIBER,03,ETEKIBER,376,329,,705,705
93,01,APAC,002,KWANIA COUNTY,04,NAMBIESO,32,PUNUATAR,01,"APIIBOR PRIMARY
SCHOOL",356,333,,689,689
94,01,APAC,002,KWANIA COUNTY,04,NAMBIESO,32,PUNUATAR,02,WIGWENG,183,181,,364,364
95,01,APAC,002,KWANIA COUNTY,04,NAMBIESO,33,OGWIL,01,OGWIL P.7 SCHOOL,259,239,,498,498
96,01,APAC,002,KWANIA COUNTY,04,NAMBIESO,33,OGWIL,02,AGWENG,270,215,,485,485
97,01,APAC,002,KWANIA COUNTY,05,ABONGOMOLA,03,AKALI,01,ALEL,289,275,,564,564
98,01,APAC,002,KWANIA COUNTY,05,ABONGOMOLA,03,AKALI,02,TELELA P.7 SCHOOL,372,384,,756,756
99,01,APAC,002,KWANIA COUNTY,05,ABONGOMOLA,03,AKALI,04,OLOK MARKET,261,225,,486,486
100,01,APAC,002,KWANIA COUNTY,05,ABONGOMOLA,04,ABWONG,02,ABWONG  P.7 SCHOOL,287,283,,572,570
"SER
NO","DIST
CODE",DISTRICT_NAME,"EA
CODE",EA_NAME,"SCTY
CODE",SCOUNTY_NAME,"PAR
CODE",PARISH NAME,"PS
CODE",PS NAME,"NO OF
FEMALES",NO OF MALES,,"VOTER
COUNTS", 
101,01,APAC,002,KWANIA COUNTY,05,ABONGOMOLA,04,ABWONG,04,TEILWA,402,371,,773,773
102,01,APAC,002,KWANIA COUNTY,05,ABONGOMOLA,05,ACUNGI,01,"ACOININO CATHOLIC
CHURCH",251,202,,453,453
103,01,APAC,002,KWANIA COUNTY,05,ABONGOMOLA,05,ACUNGI,02,ABONGOMOLA H/C III,379,351,,730,730
104,01,APAC,002,KWANIA COUNTY,05,ABONGOMOLA,05,ACUNGI,03,ACUNGI P.7 SCHOOL,156,161,,317,317
105,01,APAC,002,KWANIA COUNTY,05,ABONGOMOLA,05,ACUNGI,04,ABONGOMOLA,477,401,,878,878
106,01,APAC,002,KWANIA COUNTY,05,ABONGOMOLA,06,ABANY,01,ANGULE ST. JOHN,141,134,,275,275
107,01,APAC,002,KWANIA COUNTY,05,ABONGOMOLA,06,ABANY,02,AWEI,383,376,,759,759
108,01,APAC,002,KWANIA COUNTY,05,ABONGOMOLA,06,ABANY,03,ABANY MARKET,457,412,,869,869
109,01,APAC,002,KWANIA COUNTY,05,ABONGOMOLA,26,AMORIGOGA,01,"AMORIGOGA P.7
SCHOOL",409,361,,770,770
110,01,APAC,002,KWANIA COUNTY,05,ABONGOMOLA,26,AMORIGOGA,02,ACOININO P 7 SCHOOL,256,247,,504,503
111,01,APAC,002,KWANIA COUNTY,05,ABONGOMOLA,26,AMORIGOGA,03,TEYAO,276,214,,490,490
112,01,APAC,002,KWANIA COUNTY,05,ABONGOMOLA,26,AMORIGOGA,04,OWERA MARKET,249,239,,489,488
113,01,APAC,002,KWANIA COUNTY,05,ABONGOMOLA,26,AMORIGOGA,05,ABEDOBER,246,207,,453,453
114,01,APAC,002,KWANIA COUNTY,05,ABONGOMOLA,35,AGWA,01,APIDYANG B,127,125,,252,252
115,01,APAC,002,KWANIA COUNTY,05,ABONGOMOLA,35,AGWA,02,OLIO PAG CHURCH,209,210,,419,419
116,01,APAC,002,KWANIA COUNTY,05,ABONGOMOLA,35,AGWA,03,AGWA P.7 SCHOOL,459,407,,866,866
117,01,APAC,002,KWANIA COUNTY,05,ABONGOMOLA,36,ADEROLONGO,01,"ADELORONGO P.7
SCHOOL",310,289,,599,599
118,01,APAC,002,KWANIA COUNTY,05,ABONGOMOLA,36,ADEROLONGO,02,"APOROTUKU P7
SCHOOL",290,260,,553,550
119,01,APAC,002,KWANIA COUNTY,05,ABONGOMOLA,37,TEIORO,01,TEI‐ORO,332,326,,659,658
120,01,APAC,002,KWANIA COUNTY,05,ABONGOMOLA,37,TEIORO,02,ONYONG,207,197,,404,404
"SER
NO","DIST
CODE",DISTRICT_NAME,"EA
CODE",EA_NAME,"SCTY
CODE",SCOUNTY_NAME,"PAR
CODE",PARISH NAME,"PS
CODE",PS NAME,"NO OF
FEMALES",NO OF MALES,,"VOTER
COUNTS", 
121,01,APAC,002,KWANIA COUNTY,05,ABONGOMOLA,37,TEIORO,03,APARI MARKET,167,155,,322,322
122,01,APAC,002,KWANIA COUNTY,06,"ADUKU TOWN
COUNCIL",30,TEDUKA WARD,01,ADUKU U.C.C.,418,321,,739,739
123,01,APAC,002,KWANIA COUNTY,06,"ADUKU TOWN
COUNCIL",30,TEDUKA WARD,02,OT‐OGOLE,310,277,,587,587
124,01,APAC,002,KWANIA COUNTY,06,"ADUKU TOWN
COUNCIL",30,TEDUKA WARD,03,"ADYEDA TRADING
CENTRE",235,229,,464,464
125,01,APAC,002,KWANIA COUNTY,06,"ADUKU TOWN
COUNCIL",30,TEDUKA WARD,04,ADUKU S.S.S.,225,177,,402,402
126,01,APAC,002,KWANIA COUNTY,06,"ADUKU TOWN
COUNCIL",31,IKWERA WARD,01,IKWERA,366,291,,657,657
127,01,APAC,002,KWANIA COUNTY,06,"ADUKU TOWN
COUNCIL",31,IKWERA WARD,02,AKAIDEBE,287,210,,498,497
128,01,APAC,003,MARUZI COUNTY,01,AKOKORO,01,AYAGO,01,AYUMI P.7 SCHOOL,304,275,,583,579
129,01,APAC,003,MARUZI COUNTY,01,AKOKORO,01,AYAGO,02,"ABONGOKONGO P.7
SCHOOL",136,136,,272,272
130,01,APAC,003,MARUZI COUNTY,01,AKOKORO,01,AYAGO,03,AYAGO  P  7  SCHOOL,452,423,,880,875
131,01,APAC,003,MARUZI COUNTY,01,AKOKORO,01,AYAGO,04,AYENG,137,125,,262,262
132,01,APAC,003,MARUZI COUNTY,01,AKOKORO,02,APOI,01,ONYANY P.7 SCHOOL,253,255,,509,508
133,01,APAC,003,MARUZI COUNTY,01,AKOKORO,02,APOI,04,APALAMIO,124,139,,269,263
134,01,APAC,003,MARUZI COUNTY,01,AKOKORO,02,APOI,05,APOI P.7 SCHOOL,458,420,,883,878
135,01,APAC,003,MARUZI COUNTY,01,AKOKORO,03,AKOKORO,01,ALUGA P.7 SCHOOL,435,414,,849,849
136,01,APAC,003,MARUZI COUNTY,01,AKOKORO,03,AKOKORO,02,AKOKORO S.S.S.,443,441,,891,884
137,01,APAC,003,MARUZI COUNTY,01,AKOKORO,04,AWILA,01,AWILA P.7 SCHOOL,331,274,,608,605
138,01,APAC,003,MARUZI COUNTY,01,AKOKORO,04,AWILA,02,ATEK CENTRAL MARKET,452,394,,848,846
139,01,APAC,003,MARUZI COUNTY,01,AKOKORO,04,AWILA,03,"AWILA CATHOLIC
CHURCH",171,166,,340,337
140,01,APAC,003,MARUZI COUNTY,01,AKOKORO,04,AWILA,04,IDEP P7 SCHOOL,180,149,,330,329
"SER
NO","DIST
CODE",DISTRICT_NAME,"EA
CODE",EA_NAME,"SCTY
CODE",SCOUNTY_NAME,"PAR
CODE",PARISH NAME,"PS
CODE",PS NAME,"NO OF
FEMALES",NO OF MALES,,"VOTER
COUNTS", 
141,01,APAC,003,MARUZI COUNTY,01,AKOKORO,05,AYEOLYEC,01,KWIBALE P.7 SCHOOL,383,386,,773,769
142,01,APAC,003,MARUZI COUNTY,01,AKOKORO,05,AYEOLYEC,02,AYEI A,269,267,,539,536
143,01,APAC,003,MARUZI COUNTY,01,AKOKORO,05,AYEOLYEC,03,PABBO,62,77,,140,139
144,01,APAC,003,MARUZI COUNTY,01,AKOKORO,05,AYEOLYEC,05,AYEI B,169,159,,333,328
145,01,APAC,003,MARUZI COUNTY,01,AKOKORO,05,AYEOLYEC,06,KWIBALE MARKET,438,439,,881,877
146,01,APAC,003,MARUZI COUNTY,01,AKOKORO,06,KUNGU,01,KUNGU P.7 SCHOOL A,421,83,,506,504
147,01,APAC,003,MARUZI COUNTY,01,AKOKORO,06,KUNGU,02,ACHOLI INN,181,256,,437,437
148,01,APAC,003,MARUZI COUNTY,01,AKOKORO,06,KUNGU,03,IGULU,177,171,,349,348
149,01,APAC,003,MARUZI COUNTY,01,AKOKORO,06,KUNGU,04,KUNGU P.7 SCHOOL B,150,488,,642,638
150,01,APAC,003,MARUZI COUNTY,01,AKOKORO,24,ALARO,01,"WANSOLO FISHING
CAMP",208,226,,437,434
151,01,APAC,003,MARUZI COUNTY,01,AKOKORO,24,ALARO,02,ALARO P.7 SCHOOL A,313,282,,600,595
152,01,APAC,003,MARUZI COUNTY,01,AKOKORO,24,ALARO,03,"BAROKWORO P.7
SCHOOL",335,304,,644,639
153,01,APAC,003,MARUZI COUNTY,01,AKOKORO,24,ALARO,04,CORNER BALE,106,93,,200,199
154,01,APAC,003,MARUZI COUNTY,01,AKOKORO,24,ALARO,05,KIGA LANDING SITE,196,180,,378,376
155,01,APAC,003,MARUZI COUNTY,01,AKOKORO,24,ALARO,06,ALARO P.7 SCHOOL B,301,278,,580,579
156,01,APAC,003,MARUZI COUNTY,01,AKOKORO,27,AMUN,01,AMUN P.7 SCHOOL,222,198,,425,420
157,01,APAC,003,MARUZI COUNTY,01,AKOKORO,27,AMUN,02,"AMUN TRADING
CENTER",282,238,,523,520
158,01,APAC,003,MARUZI COUNTY,01,AKOKORO,27,AMUN,03,"AMUN CHURCH OF
UGANDA",314,282,,599,596
159,01,APAC,003,MARUZI COUNTY,02,APAC,07,ATIK,01,OWANG PRIMARY,571,90,,661,661
160,01,APAC,003,MARUZI COUNTY,02,APAC,07,ATIK,02,BARDEK,442,375,,817,817
"SER
NO","DIST
CODE",DISTRICT_NAME,"EA
CODE",EA_NAME,"SCTY
CODE",SCOUNTY_NAME,"PAR
CODE",PARISH NAME,"PS
CODE",PS NAME,"NO OF
FEMALES",NO OF MALES,,"VOTER
COUNTS", 
161,01,APAC,003,MARUZI COUNTY,02,APAC,07,ATIK,03,MATIMI AMOR,411,381,,792,792
162,01,APAC,003,MARUZI COUNTY,02,APAC,07,ATIK,04,AWIRI,463,388,,851,851
163,01,APAC,003,MARUZI COUNTY,02,APAC,07,ATIK,05,AWIRI PRI. SCHOOL,329,325,,654,654
164,01,APAC,003,MARUZI COUNTY,02,APAC,07,ATIK,06,ABONGO OKERE,220,172,,392,392
165,01,APAC,003,MARUZI COUNTY,02,APAC,07,ATIK,07,OWANG T/C BOREHOLE,77,497,,574,574
166,01,APAC,003,MARUZI COUNTY,02,APAC,08,ATOPI,01,"ATOPI PRIMARY
SCHOOL",671,80,,751,751
167,01,APAC,003,MARUZI COUNTY,02,APAC,08,ATOPI,02,ALYEC MARKET,333,308,,641,641
168,01,APAC,003,MARUZI COUNTY,02,APAC,08,ATOPI,03,ANYAI MARKET,365,312,,677,677
169,01,APAC,003,MARUZI COUNTY,02,APAC,08,ATOPI,04,AYERA BOREHOLE,219,169,,388,388
170,01,APAC,003,MARUZI COUNTY,02,APAC,08,ATOPI,05,ATOPI A BOREHOLE,101,647,,748,748
171,01,APAC,003,MARUZI COUNTY,02,APAC,08,ATOPI,06,AKULI CORNER ADEK,335,287,,622,622
172,01,APAC,003,MARUZI COUNTY,02,APAC,09,AKERE,01,ATUDU P7 SCHOOL,382,351,,733,733
173,01,APAC,003,MARUZI COUNTY,02,APAC,09,AKERE,02,TEIBU  P.A.G  CHURCH,267,265,,532,532
174,01,APAC,003,MARUZI COUNTY,02,APAC,09,AKERE,03,"OLEL  PEK  P  7
SCHOOL",392,359,,751,751
175,01,APAC,003,MARUZI COUNTY,02,APAC,09,AKERE,04,OGEI BOREHOLE,183,179,,362,362
176,01,APAC,003,MARUZI COUNTY,02,APAC,09,AKERE,05,"ANGAYIKI PRIMARY
SCHOOL",382,337,,719,719
177,01,APAC,003,MARUZI COUNTY,02,APAC,09,AKERE,06,"ATUDU ANNEX P7
SCHOOL",351,293,,644,644
178,01,APAC,003,MARUZI COUNTY,02,APAC,10,ATANA,01,AWIR P.7 SCHOOL,376,333,,718,709
179,01,APAC,003,MARUZI COUNTY,02,APAC,10,ATANA,02,ODOKOMAC P. SCHOOL,420,357,,788,777
180,01,APAC,003,MARUZI COUNTY,02,APAC,10,ATANA,03,AYOM JERI P. SCHOOL,372,295,,669,667
"SER
NO","DIST
CODE",DISTRICT_NAME,"EA
CODE",EA_NAME,"SCTY
CODE",SCOUNTY_NAME,"PAR
CODE",PARISH NAME,"PS
CODE",PS NAME,"NO OF
FEMALES",NO OF MALES,,"VOTER
COUNTS", 
181,01,APAC,003,MARUZI COUNTY,02,APAC,10,ATANA,04,ABULI MARKET,437,392,,831,829
182,01,APAC,003,MARUZI COUNTY,02,APAC,10,ATANA,05,OMUKOWIE T.C,166,163,,332,329
183,01,APAC,003,MARUZI COUNTY,02,APAC,10,ATANA,06,KONA ANGWEN,192,166,,358,358
184,01,APAC,003,MARUZI COUNTY,02,APAC,10,ATANA,07,ALWANG B T.C,144,152,,309,296
185,01,APAC,003,MARUZI COUNTY,02,APAC,10,ATANA,08,"ADWONGORETE
MARKET",256,252,,510,508
186,01,APAC,003,MARUZI COUNTY,02,APAC,11,ABEDI,01,ADAG‐AYELA,439,372,,811,811
187,01,APAC,003,MARUZI COUNTY,02,APAC,11,ABEDI,02,OMER P.7 SCHOOL,365,311,,676,676
188,01,APAC,003,MARUZI COUNTY,02,APAC,11,ABEDI,03,WITIM,442,350,,792,792
189,01,APAC,003,MARUZI COUNTY,02,APAC,11,ABEDI,04,ACANDYANG  CENTRE,368,321,,689,689
190,01,APAC,003,MARUZI COUNTY,02,APAC,11,ABEDI,05,ATAR P.7 SCHOOL,587,76,,663,663
191,01,APAC,003,MARUZI COUNTY,02,APAC,11,ABEDI,06,"AKWALKWALA
TRADING CENTER",237,202,,439,439
192,01,APAC,003,MARUZI COUNTY,02,APAC,11,ABEDI,07,LANGO CENTER,158,154,,312,312
193,01,APAC,003,MARUZI COUNTY,02,APAC,11,ABEDI,08,IBALIKOMA TC,78,518,,596,596
194,01,APAC,003,MARUZI COUNTY,03,APAC TOWN COUNCIL,12,EASTERN WARD,01,AGULU MARKET A,554,93,,647,647
195,01,APAC,003,MARUZI COUNTY,03,APAC TOWN COUNCIL,12,EASTERN WARD,02,AGULU MARKET B,63,439,,503,502
196,01,APAC,003,MARUZI COUNTY,03,APAC TOWN COUNCIL,12,EASTERN WARD,03,APAC MODEL P.7 A,539,89,,628,628
197,01,APAC,003,MARUZI COUNTY,03,APAC TOWN COUNCIL,12,EASTERN WARD,04,ATIK,253,213,,466,466
198,01,APAC,003,MARUZI COUNTY,03,APAC TOWN COUNCIL,12,EASTERN WARD,05,NIGHTIANGALE SCHOOL,354,291,,648,645
199,01,APAC,003,MARUZI COUNTY,03,APAC TOWN COUNCIL,12,EASTERN WARD,06,APAC MODEL P.7 B,75,390,,466,465
200,01,APAC,003,MARUZI COUNTY,03,APAC TOWN COUNCIL,13,WESTERN WARD,01,AROCHA P.7 SCHOOL A,365,342,,708,707
"SER
NO","DIST
CODE",DISTRICT_NAME,"EA
CODE",EA_NAME,"SCTY
CODE",SCOUNTY_NAME,"PAR
CODE",PARISH NAME,"PS
CODE",PS NAME,"NO OF
FEMALES",NO OF MALES,,"VOTER
COUNTS", 
